Dominio,Descripcion,Ambito,Pregunta,Respuesta
Naturaleza,Natural es lo que entiendo. o tal vez a lo que le tengo una teoría. una explicación. Usamos la distinción natural-artificial para distinguir lo que creció de lo que hacemos. Lo que pasa sin intervención de nosotros y lo que pasa por acción nuestra. Muchas veces la usamos porque nos sentimos externos a lo natural. O creadores de lo artificial. Lo que hacemos es natural. naturaleza es el universo. Aquello con lo que convivimos. Donde vivimos. Ser es ver el mundo con la actitud que el universo crece. que las cosas pasan. que no hay un yo que crea y un escenario donde creo. Más bien. soy parte del todo. Naturaleza es entender que soy parte del escenario y que mis creaciones vienen de las dinámicas de este escenario. Lo artificial es natural cuando entiendo que yo soy natural. Todo es natural.,FISICA,Victima,"¿Te vas a definir como una víctima del mundo o como el mundo?

Tú eres lo que haces.
Tú eres lo que te pasa.
Tú eres responsable.

La diferencia entre lo que nos pasa y lo que hacemos es un poco de ego.
Nosotros brillamos el sol.
Nosotros palpitamos nuestro corazón.
Hacemos amanecer.

Acepta que eres el mundo.
Sé responsable de lo que te pasa."
Naturaleza,,FISICA,Las montañas son montañas,"En un comienzo las montañas son montañas.

Si me pongo curioso. las montañas comienzan
a ser una complejidad de relaciones.
Dejan de ser simplemente montañas.
Empiezo a estudiarlas. 
a partirlas en pedazos.
a caracterizarlas. 
a parametrizarlas 
y categorizarlas. 
Busco causas y efectos.

Yo sé que entiendo a la montaña 
cuando deja de ser un montón de cosas 
y vuelve a ser montaña.

Las montañas son montañas."
Naturaleza,,FISICA,Olas,"Las cosas de la vida llegan por olas.Lo que acaba vuelve.Lo que empieza termina.Lo que termina empieza de nuevo.Siempre va a estar ahí.Morir y nacer son la misma cosa.Son parte de la misma ola.Es una cresta que no existe sin un valle."
Naturaleza,,FISICA,Massimo y los extraterrestres,"Massimo se comunicó con los extraterrestres. Ellos dejaron estos tres mensajes:

Existe lo que existe.
Nada es nada.
La vida es cara."
Naturaleza,,FISICA,¿Quién soy?,"Depende de a quién le pregunte.
Para cada persona soy alguien diferente.
Cada uno en su realidad.

Soy una superposición de lo que cargo. 
de lo que hago. de lo que impacto. 
de mis amigos.
de lo que digo. pienso y siento. 
de lo que percibo. 
de mi alimento. 
de donde vivo.

Soy onda y partícula.
Soy un universo. soy un creador."
Naturaleza,,FISICA,Sorprendidos,"Así cómo vendrá un instante con infinito
cambios de paradigma. una singularidad.
vendrán sorpresas cada vez más frecuentes. 
hasta el punto de tener infinito sorpresas
en un instante.
O sorpresas en cada instante.
Quedaremos anonadados. 
sorprendidos.

¿Cómo será un mundo donde todos
estemos sorprendidos cada instante?

Tendremos que escondernos.
desconectarnos para vivir.
Y cuando queramos sorpresas nos conectaremos."
Naturaleza,,FISICA,El sonido no muere,"El sonido nunca muere. 
Hoy tenemos personas buscando reproducir los sonidos del pasado. 
¿Cómo suena un dinosaurio?
¿Cómo sonó ese grito de independencia? 
¿Qué está diciendo ese presidente en esa oficina?

Las ondas se propagan y dejan rastro. 
Y podemos devolver el tiempo y reconstruir el pasado. 
Escuchar como era antes. 
Y mientras contemplo esta posibilidad. 
me imagino que así como reproduzco la declaración de amor de mis abuelos. 
podré tal vez hacer lo mismo con los átomos. 

¿Será que puedo reproducir el alma? 
¿Hay alma? ¿Tengo libre voluntad? 
O estoy enmarcado dentro de unas leyes que ya han determinado mi destino. 
¿Estará en mi destino revivir?

No importa si ya lo escribieron. 
Hasta que yo no lo lea existirán infinitas posibilidades."
Naturaleza,,FISICA,Ver la flor,"Si no paras a ver la flor. 
no ves la araña. 
la telaraña con su rocío. 
y la magia de los pequeños detalles."
Naturaleza,,FISICA,"Fricción","La fricción es una fuerza que se opone al movimiento. Aparece antes de que me empiece a mover para evitar que yo arranque. 
También cuando me muevo desacelerando. 

Un cuerpo se va a quedar quieto o a mantener su estado (velocidad constante) en ausencia de fuerzas. El problema es que la fricción siempre está. 

En el día a día vivimos esta fuerza todo el tiempo. Desde que nos tenemos que levantar de la cama. desplazarnos al trabajo. o arrancar un proyecto. 
La entendemos moviéndonos. arrancando. con motivación.

Hay una fuerza que no nos deja arrancar. y hay otra fuerza que nos frena. 
Nosotros tenemos que tener la fuerza para contrarrestarlas y seguir adelante."
Naturaleza,,FISICA,Controlar el humo,"Que no se te olvide que puedes controlar el humo.
A veces es echar más leña o una sopladita.
Por lo general.
más llama es menos humo."
